name,email,company
HR Team,careers@wadhwaniai.org,Wadhwani AI
HR Team,Hr@EnquiryGate.com,EnquiryGate
Karishma,karishma@convegenius.ai,ConveGenius.AI
Talent Team,talent@infostride.com,InfoStride
HR Team,career@appinventiv.com,Appinventiv
HR Team,hello@appinventiv.com,Appinventiv
Arju Kumari,arju.kumari@servoedge.com,ServoEdge
HR Team,careers@sarvam.ai,Sarvam AI
HR Team,careers@vasitum.com,Vasitum
HR Team,hr@vasitum.com,Vasitum
HR Team,careers@kiwitech.com,KiwiTech
HR Team,careers@cyfuture.com,Cyfuture
HR Team,hr@cyfuture.com,Cyfuture
HR Team,careers@nickelfox.com,Nickelfox Technologies
HR Team,hr@nickelfox.com,Nickelfox Technologies
HR Team,careers@cliffex.com,Cliffex Software Solutions
HR Team,hr@cliffex.com,Cliffex Software Solutions
HR Team,careers@acutus.ai,Acutus AI
HR Team,careers@bluedataconsulting.co,Blue Data Consulting
HR Team,careers@jupiterailabs.com,Jupiter AI Labs
HR Team,hr@kodemelon.com,KodeMelon Technologies
HR Team,hr@techoonsoftware.com,Techoon Software Solutions
HR Team,hr@humanitics.in,Humanitics Dimensions Software
HR Team,careers@xcelore.com,Xcelore
HR Team,careers@eicetech.com,EICE Technology
HR Team,careers@fusionpact.com,Fusionpact Technologies
HR Team,careers@nsda.in,NSDA India
HR Team,hr@codrithm.com,Codrithm Technology
HR Team,hr@uniconverge.com,Uniconverge Technologies
HR Team,careers@innefu.com,Innefu Labs
HR Team,careers@thinksys.com,ThinkSys
HR Team,careers@techahead.com,TechAhead
HR Team,careers@voxomos.com,Voxomos
HR Team,careers@vegavid.com,Vegavid Technology
HR Team,careers@daffodilsw.com,Daffodil Software
HR Team,careers@hiteshi.com,Hiteshi Infotech
HR Team,hr@damcogroup.com,Damco Solutions
HR Team,careers@chetu.com,Chetu
HR Team,careers@ongraph.com,OnGraph Technologies
HR Team,careers@spiralmantra.com,Spiral Mantra
HR Team,careers@macgence.com,Macgence
HR Team,careers@teckinfo.com,Teckinfo Solutions
